Resistance per unit length (ohm/um): 0.0165
Capacitance per unit length (F/um): 1.8400e-016
Sink node capacitance (F): 2.500000e-016
Buffer output resistance (ohm): 0.01
Sinkcount: 267
Nodecount: 965

%thisnode  parnode  lcnode  rcnode  length(um)  xloc(um)  yloc(um)

1 534 -1 -1 405.080000 29322.000000 41420.000000
2 535 -1 -1 1635.360000 26208.000000 51579.000000
3 536 -1 -1 561.000000 35565.000000 61661.000000
4 537 -1 -1 223.150000 36852.000000 64281.000000
5 538 -1 -1 648.000000 33416.000000 62525.000000
6 539 -1 -1 1828.300000 36915.000000 67124.000000
7 270 -1 -1 126.700000 32275.000000 58078.000000
8 327 -1 -1 1358.200000 30591.000000 67258.000000
9 540 -1 -1 648.000000 33180.000000 61229.000000
10 541 -1 -1 3871.620000 43063.000000 69393.000000
11 314 -1 -1 1084.900000 36871.000000 61100.000000
12 542 -1 -1 4248.380000 43027.000000 61273.000000
13 543 -1 -1 2887.870000 51342.000000 60304.000000
14 349 -1 -1 1500.600000 48402.000000 50963.000000
15 544 -1 -1 731.400000 47169.000000 48731.000000
16 545 -1 -1 2865.890000 52320.000000 39499.000000
17 546 -1 -1 104.000000 53329.000000 36125.000000
18 336 -1 -1 1290.400000 50974.000000 41565.000000
19 547 -1 -1 294.090000 54258.000000 39095.000000
20 548 -1 -1 2206.560000 63990.000000 36007.000000
21 348 -1 -1 1337.200000 57164.000000 37226.000000
22 906 -1 -1 718.500000 52707.000000 34101.000000
23 550 -1 -1 380.310000 49281.000000 28791.000000
24 382 -1 -1 1814.700000 46469.000000 31039.000000
25 551 -1 -1 1.000000 37908.000000 21556.000000
26 552 -1 -1 1272.020000 34929.000000 27721.000000
27 553 -1 -1 984.000000 34185.000000 24396.000000
28 554 -1 -1 945.300000 37959.000000 29214.000000
29 325 -1 -1 1153.400000 44933.000000 26816.000000
30 555 -1 -1 181.600000 41203.000000 23650.000000
31 389 -1 -1 2206.700000 47123.000000 25155.000000
32 556 -1 -1 411.290000 45869.000000 32701.000000
33 557 -1 -1 645.000000 49001.000000 26323.000000
34 274 -1 -1 176.900000 45937.000000 27631.000000
35 312 -1 -1 717.700000 37881.000000 30877.000000
36 558 -1 -1 146.500000 33099.000000 20646.000000
37 559 -1 -1 64.570000 32858.000000 20169.000000
38 560 -1 -1 1699.000000 23282.000000 12967.000000
39 561 -1 -1 2038.600000 20313.000000 23235.000000
40 562 -1 -1 48.850000 10979.000000 19275.000000
41 563 -1 -1 949.600000 2691.000000 10735.000000
42 564 -1 -1 1463.230000 14975.000000 11439.000000
43 565 -1 -1 1731.190000 18590.000000 4776.000000
44 362 -1 -1 2517.700000 26532.000000 11268.000000
45 907 -1 -1 1322.075000 30550.000000 14482.000000
46 350 -1 -1 1876.900000 31657.000000 23412.000000
47 567 -1 -1 270.400000 25519.000000 21602.000000
48 568 -1 -1 480.400000 19310.000000 20716.000000
49 569 -1 -1 149.500000 28348.000000 27359.000000
50 293 -1 -1 742.100000 18734.000000 35167.000000
51 315 -1 -1 823.500000 18801.000000 45185.000000
52 570 -1 -1 111.540000 19553.000000 49180.000000
53 571 -1 -1 282.500000 18037.000000 46291.000000
54 572 -1 -1 242.800000 18373.000000 40844.000000
55 286 -1 -1 447.100000 11369.000000 49912.000000
56 573 -1 -1 324.000000 10771.000000 49588.000000
57 908 -1 -1 209.925000 16846.000000 53625.000000
58 301 -1 -1 789.500000 18616.000000 61952.000000
59 575 -1 -1 531.190000 19377.000000 66777.000000
60 576 -1 -1 881.810000 18899.000000 68190.000000
61 577 -1 -1 355.000000 23722.000000 62268.000000
62 309 -1 -1 698.700000 14803.000000 68309.000000
63 578 -1 -1 13.000000 24346.000000 61900.000000
64 579 -1 -1 379.310000 14186.000000 67231.000000
65 580 -1 -1 592.950000 16594.000000 56976.000000
66 409 -1 -1 2205.400000 24284.000000 56762.000000
67 581 -1 -1 1285.670000 14687.000000 52123.000000
68 582 -1 -1 2182.050000 17493.000000 59751.000000
69 583 -1 -1 641.820000 21314.000000 57535.000000
70 584 -1 -1 1380.000000 22295.000000 65445.000000
71 305 -1 -1 855.900000 17744.000000 64065.000000
72 585 -1 -1 248.000000 28181.000000 64757.000000
73 586 -1 -1 248.000000 26101.000000 64261.000000
74 587 -1 -1 278.000000 19115.000000 64343.000000
75 588 -1 -1 2553.050000 12274.000000 58152.000000
76 363 -1 -1 2200.400000 4147.000000 50448.000000
77 589 -1 -1 454.410000 11262.000000 43646.000000
78 279 -1 -1 328.700000 14453.000000 50146.000000
79 590 -1 -1 677.460000 17900.000000 49969.000000
80 591 -1 -1 328.200000 17969.000000 40273.000000
81 337 -1 -1 1458.300000 11910.000000 36524.000000
82 592 -1 -1 774.750000 7540.000000 32712.000000
83 593 -1 -1 71.590000 5887.000000 37318.000000
84 594 -1 -1 1335.590000 12698.000000 45436.000000
85 595 -1 -1 306.860000 18596.000000 36216.000000
86 596 -1 -1 173.040000 28577.000000 29368.000000
87 272 -1 -1 238.600000 31927.000000 33781.000000
88 396 -1 -1 1893.000000 34505.000000 30886.000000
89 597 -1 -1 146.500000 33439.000000 20939.000000
90 598 -1 -1 1.000000 37119.000000 21558.000000
91 599 -1 -1 200.000000 42956.000000 26616.000000
92 343 -1 -1 1740.300000 42683.000000 16807.000000
93 600 -1 -1 567.410000 50614.000000 12885.000000
94 601 -1 -1 161.490000 59105.000000 21659.000000
95 602 -1 -1 67.570000 60852.000000 25831.000000
96 603 -1 -1 2145.620000 60744.000000 29484.000000
97 604 -1 -1 89.430000 62249.000000 25988.000000
98 909 -1 -1 746.500000 67490.000000 35566.000000
99 605 -1 -1 201.350000 69048.000000 33581.000000
100 606 -1 -1 1227.880000 64076.000000 24777.000000
101 607 -1 -1 48.650000 54837.000000 32306.000000
102 356 -1 -1 2060.000000 65175.000000 29064.000000
103 608 -1 -1 833.890000 58141.000000 23253.000000
104 609 -1 -1 746.060000 51409.000000 15433.000000
105 610 -1 -1 921.560000 41313.000000 19857.000000
106 287 -1 -1 565.600000 50132.000000 14390.000000
107 448 -1 -1 970.000000 60515.000000 21681.000000
108 611 -1 -1 79.120000 65585.000000 26084.000000
109 612 -1 -1 114.000000 68893.000000 28950.000000
110 613 -1 -1 727.000000 59539.000000 20954.000000
111 422 -1 -1 3286.700000 65830.000000 14569.000000
112 614 -1 -1 676.000000 58914.000000 8021.000000
113 364 -1 -1 2492.200000 63541.000000 8697.000000
114 615 -1 -1 1697.510000 61682.000000 12464.000000
115 346 -1 -1 1760.600000 55258.000000 14834.000000
116 616 -1 -1 689.000000 57828.000000 15523.000000
117 910 -1 -1 290.925000 62073.000000 16095.000000
118 618 -1 -1 4581.050000 53698.000000 12028.000000
119 619 -1 -1 1172.520000 53377.000000 6402.000000
120 323 -1 -1 819.500000 48326.000000 6943.000000
121 620 -1 -1 110.500000 40239.000000 2766.000000
122 621 -1 -1 952.000000 47147.000000 7895.000000
123 369 -1 -1 3207.500000 55306.000000 2022.000000
124 622 -1 -1 383.170000 48404.000000 12720.000000
125 341 -1 -1 1276.000000 50119.000000 19491.000000
126 623 -1 -1 327.870000 54375.000000 18333.000000
127 353 -1 -1 1455.300000 45204.000000 10920.000000
128 624 -1 -1 305.500000 40398.000000 5928.000000
129 911 -1 -1 123.075000 33860.000000 15681.000000
130 626 -1 -1 305.500000 38956.000000 5317.000000
131 627 -1 -1 110.500000 37189.000000 2545.000000
132 628 -1 -1 155.430000 32671.000000 19949.000000
133 629 -1 -1 149.500000 29353.000000 27060.000000
134 912 -1 -1 1214.000000 35934.000000 16772.000000
135 630 -1 -1 148.740000 43881.000000 18696.000000
136 631 -1 -1 2001.690000 45064.000000 14377.000000
137 632 -1 -1 931.590000 50672.000000 11386.000000
138 633 -1 -1 303.000000 50776.000000 14087.000000
139 634 -1 -1 1257.000000 51807.000000 20748.000000
140 635 -1 -1 185.510000 58638.000000 22006.000000
141 636 -1 -1 262.350000 57214.000000 31995.000000
142 318 -1 -1 925.800000 50301.000000 26968.000000
143 637 -1 -1 245.560000 45796.000000 29121.000000
144 638 -1 -1 98.060000 45722.000000 27356.000000
145 294 -1 -1 430.400000 41803.000000 23038.000000
146 639 -1 -1 1338.220000 51310.000000 30400.000000
147 640 -1 -1 120.640000 41584.000000 32871.000000
148 641 -1 -1 441.970000 36710.000000 24947.000000
149 642 -1 -1 1735.000000 42195.000000 28551.000000
150 463 -1 -1 2612.600000 31723.000000 28486.000000
151 643 -1 -1 94.000000 26428.000000 37495.000000
152 644 -1 -1 100.960000 28855.000000 29094.000000
153 645 -1 -1 613.000000 37958.000000 26686.000000
154 913 -1 -1 118.500000 29348.000000 34701.000000
155 441 -1 -1 3420.100000 24235.000000 28299.000000
156 647 -1 -1 1579.150000 14042.000000 20903.000000
157 367 -1 -1 2595.400000 4949.000000 14280.000000
158 648 -1 -1 1597.400000 10014.000000 13282.000000
159 649 -1 -1 2758.000000 10822.000000 7270.000000
160 374 -1 -1 2416.200000 8116.000000 4512.000000
161 650 -1 -1 556.870000 16521.000000 9716.000000
162 651 -1 -1 491.000000 9762.000000 1644.000000
163 365 -1 -1 2798.800000 17430.000000 246.000000
164 302 -1 -1 995.000000 8704.000000 2135.000000
165 340 -1 -1 1639.100000 15850.000000 7520.000000
166 652 -1 -1 768.590000 20459.000000 7827.000000
167 653 -1 -1 638.410000 21189.000000 9234.000000
168 317 -1 -1 714.300000 31010.000000 19246.000000
169 654 -1 -1 711.660000 31496.000000 17820.000000
170 282 -1 -1 320.000000 36752.000000 24185.000000
171 328 -1 -1 942.400000 36212.000000 26073.000000
172 391 -1 -1 1660.300000 28387.000000 31700.000000
173 914 -1 -1 1061.500000 36373.000000 33758.000000
174 269 -1 -1 152.700000 26261.000000 37589.000000
175 656 -1 -1 153.000000 16567.000000 36272.000000
176 657 -1 -1 59.000000 11387.000000 29065.000000
177 915 -1 -1 1734.500000 13824.000000 33085.000000
178 313 -1 -1 820.400000 6754.000000 36426.000000
179 659 -1 -1 1135.880000 3423.000000 29754.000000
180 660 -1 -1 1587.590000 7903.000000 38834.000000
181 661 -1 -1 296.790000 16896.000000 36876.000000
182 662 -1 -1 459.570000 21005.000000 37592.000000
183 663 -1 -1 1697.700000 24471.000000 35793.000000
184 664 -1 -1 116.980000 27540.000000 34381.000000
185 665 -1 -1 7.000000 32348.000000 33774.000000
186 666 -1 -1 458.060000 25418.000000 38486.000000
187 667 -1 -1 363.360000 35578.000000 35136.000000
188 668 -1 -1 380.770000 30065.000000 35215.000000
189 669 -1 -1 492.990000 28128.000000 38717.000000
190 916 -1 -1 2030.550000 17841.000000 29124.000000
191 277 -1 -1 317.400000 16069.000000 36425.000000
192 670 -1 -1 2396.050000 14200.000000 37335.000000
193 671 -1 -1 725.250000 7363.000000 31212.000000
194 672 -1 -1 671.720000 11251.000000 38654.000000
195 673 -1 -1 1894.980000 12923.000000 40405.000000
196 674 -1 -1 2522.590000 3699.000000 45725.000000
197 675 -1 -1 230.250000 14669.000000 50705.000000
198 676 -1 -1 219.200000 4754.000000 60670.000000
199 368 -1 -1 2944.500000 339.000000 57747.000000
200 677 -1 -1 2258.000000 3921.000000 55489.000000
201 678 -1 -1 1067.800000 6084.000000 61957.000000
202 679 -1 -1 226.360000 16788.000000 55517.000000
203 680 -1 -1 842.000000 23996.000000 53280.000000
204 681 -1 -1 339.000000 19824.000000 62291.000000
205 682 -1 -1 285.000000 13359.000000 61049.000000
206 683 -1 -1 285.000000 14495.000000 61619.000000
207 684 -1 -1 434.640000 17444.000000 56178.000000
208 685 -1 -1 738.450000 8355.000000 51892.000000
209 686 -1 -1 13.000000 20951.000000 47946.000000
210 687 -1 -1 13.000000 22946.000000 47920.000000
211 688 -1 -1 66.670000 17388.000000 53977.000000
212 689 -1 -1 1069.180000 22079.000000 55824.000000
213 690 -1 -1 353.000000 27429.000000 54379.000000
214 691 -1 -1 739.230000 37813.000000 59260.000000
215 692 -1 -1 918.000000 29175.000000 68176.000000
216 693 -1 -1 488.850000 34766.000000 63569.000000
217 694 -1 -1 353.000000 28406.000000 55085.000000
218 355 -1 -1 1445.600000 25576.000000 48498.000000
219 695 -1 -1 632.850000 25742.000000 41862.000000
220 696 -1 -1 317.170000 15933.000000 47718.000000
221 697 -1 -1 508.940000 25390.000000 37519.000000
222 698 -1 -1 682.920000 29081.000000 42508.000000
223 699 -1 -1 1235.900000 31606.000000 42348.000000
224 700 -1 -1 279.290000 41227.000000 42072.000000
225 701 -1 -1 737.140000 35457.000000 43657.000000
226 702 -1 -1 896.150000 24980.000000 40333.000000
227 416 -1 -1 2419.500000 21755.000000 41148.000000
228 703 -1 -1 686.680000 31411.000000 49630.000000
229 704 -1 -1 3257.520000 39162.000000 47779.000000
230 306 -1 -1 558.500000 30559.000000 46618.000000
231 268 -1 -1 108.500000 37077.000000 44413.000000
232 917 -1 -1 580.500000 33273.000000 35400.000000
233 342 -1 -1 1702.100000 31494.000000 39410.000000
234 706 -1 -1 188.710000 40795.000000 42540.000000
235 707 -1 -1 82.320000 34557.000000 50399.000000
236 708 -1 -1 75.320000 32197.000000 58280.000000
237 322 -1 -1 1087.500000 22767.000000 52438.000000
238 709 -1 -1 866.000000 29768.000000 45752.000000
239 311 -1 -1 817.600000 36110.000000 36317.000000
240 710 -1 -1 97.440000 45656.000000 28778.000000
241 711 -1 -1 1067.650000 53762.000000 38253.000000
242 712 -1 -1 1797.380000 60727.000000 33427.000000
243 713 -1 -1 94.000000 60409.000000 37320.000000
244 714 -1 -1 1799.440000 63783.000000 40013.000000
245 334 -1 -1 1462.600000 59184.000000 46967.000000
246 715 -1 -1 111.840000 61092.000000 41063.000000
247 918 -1 -1 270.450000 53900.000000 36229.000000
248 292 -1 -1 515.700000 49464.000000 27895.000000
249 716 -1 -1 1684.920000 45496.000000 36400.000000
250 717 -1 -1 1094.580000 50645.000000 43950.000000
251 718 -1 -1 10.000000 53248.000000 49106.000000
252 719 -1 -1 3264.670000 61601.000000 50727.000000
253 720 -1 -1 725.000000 55679.000000 42163.000000
254 721 -1 -1 1019.000000 51010.000000 48097.000000
255 290 -1 -1 505.200000 60715.000000 40446.000000
256 722 -1 -1 2627.880000 60522.000000 45200.000000
257 723 -1 -1 3371.340000 69101.000000 53532.000000
258 724 -1 -1 3229.660000 65564.000000 46931.000000
259 725 -1 -1 107.000000 61758.000000 46860.000000
260 332 -1 -1 1360.400000 57556.000000 41438.000000
261 299 -1 -1 848.600000 54718.000000 49116.000000
262 726 -1 -1 2769.130000 51462.000000 54647.000000
263 727 -1 -1 1411.580000 53460.000000 44267.000000
264 280 -1 -1 327.900000 54104.000000 39717.000000
265 319 -1 -1 1259.700000 45589.000000 34372.000000
266 354 -1 -1 1879.100000 45369.000000 39964.000000
267 728 -1 -1 89.520000 37039.000000 44611.000000
268 401 231 728 1621.900000 37077.000000 44521.480000
269 729 643 174 635.010000 26413.690000 37589.000000
270 730 7 708 1461.530000 32275.000000 58204.680000
271 731 559 628 359.110000 32793.430000 20104.430000
272 732 87 665 950.930000 32165.560000 33781.000000
273 733 637 710 348.840000 45726.000000 28875.440000
274 734 34 638 92.400000 45937.000000 27454.060000
275 735 596 644 844.720000 28754.040000 29194.960000
276 736 558 597 328.960000 33257.160000 20792.500000
277 737 656 191 154.210000 16386.360000 36425.000000
278 390 546 918 906.800000 53629.130000 36229.000000
279 388 78 675 362.600000 14453.000000 50474.750000
280 738 547 264 68.440000 54104.000000 39389.090000
281 739 551 598 3088.610000 37432.870000 21557.000000
282 740 641 170 1004.890000 36752.000000 24505.030000
283 741 601 635 598.620000 58953.210000 21820.490000
284 742 574 688 780.130000 17026.310000 53910.330000
285 743 700 706 1345.040000 40983.710000 42351.290000
286 744 55 573 1241.550000 10921.910000 49912.000000
287 745 106 633 296.940000 50697.620000 14390.000000
288 746 572 591 3530.220000 18234.740000 40601.200000
289 747 577 578 13.000000 23872.610000 61913.000000
290 436 715 255 1621.000000 60715.000000 40951.160000
291 748 666 697 537.240000 25404.000000 38027.940000
292 749 550 248 651.090000 49464.000000 28410.690000
293 750 50 595 1223.290000 18734.000000 35909.140000
294 751 555 145 2397.940000 41803.000000 23468.400000
295 919 646 668 14.730000 29888.670000 34834.230000
296 753 569 629 1089.500000 28681.900000 27209.500000
297 754 679 684 1052.900000 17268.490000 55743.360000
298 755 534 698 712.980000 29201.500000 41825.080000
299 920 948 261 239.890000 53869.440000 49116.000000
300 756 538 540 2210.790000 33298.000000 61877.000000
301 757 58 681 26.000000 19405.460000 61952.000000
302 475 651 164 9135.100000 9698.970000 2135.000000
303 758 602 604 67.560000 61539.370000 25898.570000
304 759 632 600 19.240000 50633.240000 12317.590000
305 376 71 587 2040.800000 18599.920000 64065.000000
306 434 230 709 3616.400000 30000.520000 46618.000000
307 760 592 671 1047.370000 7451.500000 31937.250000
308 921 690 694 897.075000 28000.660000 54732.000000
309 762 62 579 201.410000 14803.000000 67610.310000
310 763 682 683 628.950000 13852.640000 61334.000000
311 407 667 239 599.600000 36110.000000 35499.360000
312 764 554 35 1673.300000 37881.000000 30159.300000
313 412 593 178 832.000000 6754.000000 37246.410000
314 375 536 11 1100.800000 35786.130000 61100.000000
315 417 51 571 2026.700000 18801.000000 46008.500000
316 765 575 576 100.710000 18999.710000 67308.190000
317 395 168 654 1172.500000 31010.000000 18531.660000
318 446 557 142 1884.200000 49375.220000 26968.000000
319 766 556 265 120.650000 45589.000000 33112.290000
