Resistance per unit length (ohm/um): 0.0165
Capacitance per unit length (F/um): 1.8400e-016
Sink node capacitance (F): 2.500000e-016
Buffer output resistance (ohm): 0.01
Sinkcount: 598
Nodecount: 2091

%thisnode  parnode  lcnode  rcnode  length(um)  xloc(um)  yloc(um)

1 1196 -1 -1 1523.930000 46861.000000 51305.000000
2 1197 -1 -1 415.000000 33477.000000 49501.000000
3 1198 -1 -1 228.690000 23458.000000 38703.000000
4 1986 -1 -1 2166.500000 12715.000000 49726.000000
5 1200 -1 -1 641.440000 13448.000000 58115.000000
6 1201 -1 -1 447.000000 25548.000000 58659.000000
7 1202 -1 -1 727.350000 34076.000000 68821.000000
8 1203 -1 -1 867.000000 21607.000000 62881.000000
9 1204 -1 -1 31.620000 24565.000000 56154.000000
10 1205 -1 -1 212.650000 34491.000000 69761.000000
11 1206 -1 -1 615.620000 20552.000000 69563.000000
12 1207 -1 -1 91.990000 32703.000000 69957.000000
13 1208 -1 -1 298.000000 30046.000000 74340.000000
14 613 -1 -1 200.700000 26166.000000 81981.000000
15 609 -1 -1 202.700000 31091.000000 74470.000000
16 631 -1 -1 213.500000 26397.000000 65065.000000
17 1209 -1 -1 1733.230000 36291.000000 78372.000000
18 1210 -1 -1 78.230000 46264.000000 64990.000000
19 1211 -1 -1 26.500000 60093.000000 68696.000000
20 655 -1 -1 447.400000 58511.000000 68319.000000
21 706 -1 -1 831.000000 70293.000000 67974.000000
22 1212 -1 -1 102.570000 57785.000000 65792.000000
23 1213 -1 -1 198.500000 61111.000000 75030.000000
24 617 -1 -1 154.200000 55603.000000 66248.000000
25 748 -1 -1 1093.600000 66152.000000 76540.000000
26 1214 -1 -1 327.000000 59157.000000 67992.000000
27 1215 -1 -1 96.950000 49127.000000 55328.000000
28 1216 -1 -1 1373.550000 60100.000000 66834.000000
29 732 -1 -1 849.600000 72221.000000 78196.000000
30 1987 -1 -1 784.725000 64855.000000 73859.000000
31 873 -1 -1 1520.800000 65453.000000 67313.000000
32 1218 -1 -1 1169.000000 59848.000000 62243.000000
33 1219 -1 -1 198.500000 62400.000000 74633.000000
34 1220 -1 -1 502.140000 63481.000000 67360.000000
35 1221 -1 -1 447.410000 56689.000000 56633.000000
36 1222 -1 -1 32.000000 49071.000000 52947.000000
37 1223 -1 -1 410.070000 45281.000000 53239.000000
38 1224 -1 -1 2253.260000 44531.000000 50504.000000
39 1225 -1 -1 94.320000 47534.000000 45902.000000
40 1226 -1 -1 26.500000 43991.000000 47967.000000
41 1227 -1 -1 981.810000 47498.000000 36534.000000
42 1228 -1 -1 1450.460000 43743.000000 33545.000000
43 1988 -1 -1 324.500000 44535.000000 47235.000000
44 1229 -1 -1 26.500000 45054.000000 47914.000000
45 1230 -1 -1 866.210000 50571.000000 55839.000000
46 670 -1 -1 545.400000 57311.000000 41972.000000
47 1231 -1 -1 1525.240000 70776.000000 38382.000000
48 1989 -1 -1 577.500000 64451.000000 48137.000000
49 1232 -1 -1 187.220000 63704.000000 46821.000000
50 837 -1 -1 1390.900000 65821.000000 56031.000000
51 703 -1 -1 790.300000 52534.000000 54679.000000
52 1233 -1 -1 32.000000 59271.000000 63639.000000
53 1234 -1 -1 422.000000 67039.000000 59296.000000
54 793 -1 -1 1765.400000 74142.000000 69579.000000
55 1235 -1 -1 1963.750000 87345.000000 71328.000000
56 1236 -1 -1 40.000000 79510.000000 65778.000000
57 605 -1 -1 109.100000 66031.000000 59718.000000
58 1237 -1 -1 231.680000 58640.000000 61375.000000
59 686 -1 -1 602.900000 68592.000000 48175.000000
60 614 -1 -1 143.600000 77358.000000 51214.000000
61 1238 -1 -1 68.850000 73013.000000 54944.000000
62 1239 -1 -1 1161.100000 86142.000000 51372.000000
63 1240 -1 -1 1752.670000 92911.000000 41539.000000
64 1241 -1 -1 382.570000 93051.000000 52978.000000
65 724 -1 -1 821.500000 86431.000000 63642.000000
