Resistance per unit length (ohm/um): 0.0165
Capacitance per unit length (F/um): 1.8400e-016
Sink node capacitance (F): 2.500000e-016
Buffer output resistance (ohm): 0.01
Sinkcount: 862
Nodecount: 2998

%thisnode  parnode  lcnode  rcnode  length(um)  xloc(um)  yloc(um)

1 1724 -1 -1 1034.560000 51246.000000 57610.000000
2 1725 -1 -1 317.200000 57169.000000 52098.000000
3 1726 -1 -1 715.000000 48150.000000 60464.000000
4 1044 -1 -1 927.000000 54701.000000 50398.000000
5 1727 -1 -1 314.800000 55406.000000 63086.000000
6 1728 -1 -1 259.370000 48078.000000 57037.000000
7 1005 -1 -1 819.200000 55696.000000 64220.000000
8 1729 -1 -1 582.310000 52116.000000 55725.000000
9 1154 -1 -1 1796.600000 64743.000000 67734.000000
10 1730 -1 -1 5.500000 79308.000000 66882.000000
11 1731 -1 -1 245.000000 81841.000000 53446.000000
12 1732 -1 -1 2039.740000 93017.000000 60392.000000
13 1196 -1 -1 3587.700000 97416.000000 73006.000000
14 906 -1 -1 285.500000 93734.000000 77521.000000
15 881 -1 -1 139.900000 81024.000000 68179.000000
16 1310 -1 -1 1010.800000 90588.000000 66170.000000
17 1733 -1 -1 919.210000 96078.000000 57113.000000
18 1734 -1 -1 525.000000 84793.000000 59080.000000
19 1735 -1 -1 171.450000 76880.000000 58930.000000
20 1736 -1 -1 55.000000 88475.000000 58573.000000
21 887 -1 -1 223.400000 85265.000000 46159.000000
22 1737 -1 -1 64.750000 94390.000000 59300.000000
23 1039 -1 -1 787.200000 90017.000000 70884.000000
24 1738 -1 -1 590.150000 76076.000000 73722.000000
25 1739 -1 -1 1368.880000 81245.000000 79635.000000
26 1740 -1 -1 1605.290000 73858.000000 80416.000000
27 1741 -1 -1 323.160000 62547.000000 78090.000000
28 1742 -1 -1 254.970000 69381.000000 81669.000000
29 1247 -1 -1 1313.700000 70957.000000 92258.000000
30 1121 -1 -1 1266.300000 64695.000000 92298.000000
31 1078 -1 -1 917.700000 64504.000000 82033.000000
32 1743 -1 -1 383.000000 71514.000000 69689.000000
33 2880 -1 -1 1650.225000 78004.000000 73373.000000
34 892 -1 -1 268.000000 82006.000000 78100.000000
35 1271 -1 -1 1359.200000 73329.000000 73367.000000
36 1744 -1 -1 302.500000 86812.000000 75909.000000
37 1745 -1 -1 32.590000 75665.000000 81862.000000
38 1746 -1 -1 502.000000 75863.000000 79995.000000
39 1747 -1 -1 586.500000 74204.000000 94230.000000
